hdi_rank,country,gii_2023,gii_rank_2023,mmr_2020,adolescent_birth_rate_2023,parliament_seats_female_pct_2023,secondary_education_female_pct_2023,secondary_education_male_pct_2023,labour_force_female_pct_2023,labour_force_male_pct_2023
1,Iceland,0.024,,2.654417805,3.369,47.61904762,99.87591553,99.58273315,70.46,79.31
2,Norway,0.004,,1.663741403,1.405,46.15384615,95.92950439,98.50509644,62.13,69.2
2,Switzerland,0.01,,7.378754713,1.483,37.80487805,98.03656006,98.32416534,62.57,72.86
4,Denmark,0.003,,4.65771671,1.14,43.57541899,90.99872589,92.48921967,59.7,67.7
5,Germany,0.057,,4.428440323,5.473,35.27950311,93.59159088,94.34603882,56.41,66.72
5,Sweden,0.007,,4.507839264,1.792,46.41833811,94.92349243,94.123909,64.38,70.63
7,Australia,0.056,,2.941509495,6.715,44.49339207,92.3012619,93.45359802,62.81,71.68
8,"Hong Kong, China (SAR)",..,,..,1.12,..,77.87000275,84.06999969,52.24,63.59
8,Netherlands,0.013,,4.311738966,1.858,39.11111111,91.07314301,92.66641235,64.08,73.09
10,Belgium,0.031,,4.755863198,3.67,43.54066986,88.30225372,90.95520782,50.69,59.45
11,Ireland,0.054,,4.983957073,4.069,27.39726027,90.39949036,89.87075043,60.43,70.76
12,Finland,0.021,,8.338901656,3.095,46,91.59967804,91.60490417,58.5,63.78
13,Singapore,0.031,,7.452762692,2.16,29.12621359,82.90000153,87.80999756,62.64,74.9
13,United Kingdom,0.083,,9.842479183,8.359,31.52022315,99.11174011,98.98114777,58.11,66.55
15,United Arab Emirates,0.04,,9.340701211,3.103,50,83.44999695,87.02999878,54.48,90.8
16,Canada,0.052,,11.01286682,4.805,35.81395349,96.07875824,96.52929688,61.63,69.69
17,Liechtenstein,..,,..,1.718,28,..,..,52.76,67.2
17,New Zealand,0.082,,7.030437332,10.879,44.26229508,82.91674546,82.34188874,67.62,76.7
17,United States,0.169,,21.08490543,13.145,28.22429907,97.86711884,97.82904816,57.33,68.12
20,Korea (Republic of),0.038,,8.1156225,0.537,19.06354515,85.0460434,94.20796967,56.07,73.39
21,Slovenia,0.042,,4.533144056,3.496,31.53846154,98.29801178,98.9072876,53.81,63.17
22,Austria,0.033,,5.228388414,3.836,42.79835391,98.75115967,98.68376923,56.8,66.61
23,Japan,0.059,,4.314909415,1.737,15.73033708,98.20999908,99.05999756,54.8,71.4
24,Malta,0.111,,2.892779838,10.398,27.84810127,85.02836609,90.38396454,57.2,73.18
25,Luxembourg,0.044,,6.485500142,4.023,33.33333333,90.07317352,91.33653259,58.23,66.21
26,France,0.034,,7.909078636,3.507,37.18918919,90.51028442,92.82952881,52.82,60.14
27,Israel,0.08,,2.837861862,6.204,24.16666667,90.724617,92.71450043,61.38,68.94
28,Spain,0.043,,3.441251488,4.809,43.67816092,81.54167175,85.02533722,53.35,63.04
29,Czechia,0.088,,3.374016344,5.979,23.84341637,98.99530029,99.391922,51.75,68.54
29,Italy,0.043,,4.590938693,2.852,33.55371901,79.75535583,86.1860199,41.5,58.77
29,San Marino,..,,..,1.158,33.33333333,87.16000366,88.34999847,70.36,70.58
32,Andorra,..,,..,3.48,50,81.72000122,84.59999847,..,..
32,Cyprus,0.252,,68.40658507,6.981,14.28571429,84.11471558,87.75530243,60.92,70.29
34,Greece,0.103,,7.654345551,7.044,23,73.80311584,80.39330292,44.84,59.97
35,Poland,0.081,,1.959465471,6.191,27.5,87.46093326,91.38809056,51.97,66.31
36,Estonia,0.061,,5.179642171,5.026,28.71287129,98.72947693,98.67735291,62.03,71.57
37,Saudi Arabia,0.228,,16.20375848,11.114,19.86754967,75.65345764,81.50683594,34.61,83.57
38,Bahrain,0.165,,15.89788184,7.535,22.5,88.59999847,79.87999725,41.51,85.11
39,Lithuania,0.07,,8.660484461,5.854,28.36879433,96.94976807,98.09713745,58.49,68.48
40,Portugal,0.076,,11.79945488,6.985,36.08695652,64.1178894,65.42938995,55.56,63.89
41,Croatia,0.074,,4.816821554,6.57,31.78807947,93.50881958,97.48886871,47.34,57.61
41,Latvia,0.117,,18.32162266,7.565,32,97.20517731,98.75974274,55.67,67.85
43,Qatar,0.195,,7.605434417,5.693,4.444444444,86.65000153,70.20999908,61.73,95.33
44,Slovakia,0.176,,4.824665876,24.59,22,99.10652924,99.18257904,56.26,67.33
45,Chile,0.102,,15.03073946,6.542,32.68292683,85.95876312,88.46579742,52.04,71.4
46,Hungary,0.213,,15.04888628,17.537,14.07035176,98.28498077,99.11458588,54.47,68.35
47,Argentina,0.264,,44.90007716,26.414,43.76899696,74.2965507,72.21980676,53.16,72.22
48,Montenegro,0.121,,6.174434257,9.375,20.98765432,90.14091492,96.15674591,52.23,66.12
48,Uruguay,0.218,,18.6383616,26.188,26.92307692,63.23171616,59.29354477,56.51,73.36
50,Oman,0.222,,17.00671046,5.986,10.16949153,93.2600021362305,98.6500015258789,39.93,86.48
51,Türkiye,0.227,,17.33207026,12.055,19.83333333,62.00386592,80.35950192,35.8,71.18
52,Kuwait,0.188,,7.170899064,1.576,3.076923077,62.71908876,57.79081418,47.33,85.94
53,Antigua and Barbuda,0.24,,21.24794783,32.932,22.85714286,88.0342865,76.63851929,69.6,76.02
54,Seychelles,..,,3.33320948,54.516,22.85714286,..,..,61.28,65.46
55,Bulgaria,0.208,,7.086025283,39.098,24.16666667,95.71408844,97.10520172,49.77,62.17
55,Romania,0.227,,10.07080153,33.75,18.88412017,91.04000092,95.01999664,41.93,61.87
57,Georgia,0.257,,27.60824572,21.137,18.43971631,98.23487854,98.70134735,53.67,69.61
58,Saint Kitts and Nevis,..,,..,35.183,31.25,..,..,..,..
59,Panama,0.374,,49.51727278,57.342,22.85714286,67.73134613,65.28941345,50.37,74.31
60,Brunei Darussalam,0.257,,44.236057,8.518,11.76470588,86.04911804,88.80967712,54.38,72.29
60,Kazakhstan,0.182,,13.38363194,18.235,19.59459459,100,100,63.3,74.6
62,Costa Rica,0.217,,22.00380558,26.251,47.36842105,52.10407257,52.90808105,43.86,69.72
62,Serbia,0.117,,10.1813354,13.669,34.8,91.19637861,96.82812702,51.51,65.5
64,Russian Federation,0.169,,13.72279181,12.974,17.77059774,99.33097839,99.07821655,56.21,70.5
65,Belarus,0.08,,1.101917215,8.595,34.70588235,99.28703642,99.8929897,65.25,74.85
66,Bahamas,0.325,,77.05063334,24.564,20,96.18886566,97.67153168,98.65,96.75
67,Malaysia,0.172,,21.13193118,5.962,14.65201465,79.02999878,82.05999756,55.79,81.88
68,North Macedonia,0.112,,3.035965537,12.963,42.5,68.31091309,76.21665192,42.47,61.54
69,Armenia,0.18,,27.18972179,13.445,35.51401869,99.12470245,99.26663208,61.61,76.78
69,Barbados,0.297,,39.10801491,45.332,32.65306122,95.92190144,86.41378364,54.87,62.69
71,Albania,0.107,,8.276445584,12.789,35.71428571,90.49987793,93.85752106,57.76,70.92
72,Trinidad and Tobago,0.262,,26.58299776,35.994,33.78378378,73.0368576,70.68683624,46.73,64.19
73,Mauritius,0.352,,84.35797631,19.768,20,60.37379074,71.32611084,46.86,69.7
